
participant,condition,block,input,stimulus,timestamp,xmousex,ymousey,region,triggered
m,1,0,gaze,training,1448161632453,0,0,-1,0
m,1,0,gaze,training,1448161632552,0,0,-1,0
m,1,0,gaze,training,1448161632652,0,0,-1,0
m,1,0,gaze,training,1448161632752,0,0,-1,0
m,1,0,gaze,training,1448161632852,0,0,-1,0
m,1,0,gaze,training,1448161632954,0,0,-1,0
m,1,0,gaze,training,1448161633054,0,0,-1,0
m,1,0,gaze,training,1448161633156,0,0,-1,0
m,1,0,gaze,training,1448161633257,0,0,-1,0
m,1,0,gaze,training,1448161633357,190,113,0,1
m,1,0,gaze,training,1448161633457,194,113,0,0
m,1,0,gaze,training,1448161633556,195,113,0,0
m,1,0,gaze,training,1448161633656,194,114,0,0
m,1,0,gaze,training,1448161633757,198,120,0,0
m,1,0,gaze,training,1448161633858,550,145,-1,0
m,1,0,gaze,training,1448161633957,545,143,-1,0
m,1,0,gaze,training,1448161634057,555,154,-1,0
m,1,0,gaze,training,1448161634158,560,147,3,1
m,1,0,gaze,training,1448161634258,560,146,3,0
m,1,0,gaze,training,1448161634357,558,144,3,0
m,1,0,gaze,training,1448161634458,561,152,-1,0
m,1,0,gaze,training,1448161634557,573,300,4,1
m,1,0,gaze,training,1448161634658,573,295,4,0
m,1,0,gaze,training,1448161634757,571,300,4,0
m,1,0,gaze,training,1448161634857,572,304,4,0
m,1,0,gaze,training,1448161634958,568,316,4,0
m,1,0,gaze,training,1448161635057,565,322,4,0
m,1,0,gaze,training,1448161635158,585,482,5,1
m,1,0,gaze,training,1448161635257,584,487,5,0
m,1,0,gaze,training,1448161635358,583,490,5,0
m,1,0,gaze,training,1448161635457,582,490,5,0
m,1,0,gaze,training,1448161635558,580,489,5,0
m,1,0,gaze,training,1448161635658,372,475,-1,0
m,1,0,gaze,training,1448161635757,250,463,2,1
m,1,0,gaze,training,1448161635858,232,458,2,0
m,1,0,gaze,training,1448161635957,235,459,2,0
m,1,0,gaze,training,1448161636058,194,317,1,1
m,1,0,gaze,training,1448161636158,201,286,1,0
m,1,0,gaze,training,1448161636258,198,292,1,0
m,1,0,gaze,training,1448161636357,198,289,1,0
m,1,0,gaze,training,1448161636458,559,298,4,1
m,1,0,gaze,training,1448161636558,608,297,4,0
m,1,0,gaze,training,1448161636658,606,297,4,0
m,1,0,gaze,training,1448161636758,922,305,7,1
m,1,0,gaze,training,1448161636858,921,314,-1,0
m,1,0,gaze,training,1448161636958,923,322,-1,0
m,1,0,gaze,training,1448161637058,937,315,7,1
m,1,0,gaze,training,1448161637158,951,311,7,0
m,1,0,gaze,training,1448161637258,955,310,7,0
m,1,0,gaze,training,1448161637358,965,120,6,1
m,1,0,gaze,training,1448161637458,966,104,6,0
m,1,0,gaze,training,1448161637558,966,103,6,0
m,1,0,gaze,training,1448161637658,964,105,6,0
m,1,0,gaze,training,1448161637758,965,103,6,0
m,1,0,gaze,training,1448161637858,964,104,6,0
m,1,0,gaze,training,1448161637958,984,326,7,1
m,1,0,gaze,training,1448161638058,977,324,7,0
m,1,0,gaze,training,1448161638158,976,327,7,0
m,1,0,gaze,training,1448161638258,974,329,7,0
m,1,0,gaze,training,1448161638358,970,330,7,0
m,1,0,gaze,training,1448161638458,967,333,7,0
m,1,0,gaze,training,1448161638558,949,431,8,1
m,1,0,gaze,training,1448161638658,949,440,8,0
m,1,0,gaze,training,1448161638758,948,442,8,0
m,1,0,gaze,training,1448161638858,945,447,8,0
m,1,0,gaze,training,1448161638958,942,453,8,0
m,1,0,gaze,training,1448161639058,606,466,5,1
m,1,0,gaze,training,1448161639159,601,467,5,0
m,1,0,gaze,training,1448161639259,592,476,5,0
m,1,0,gaze,training,1448161639358,579,470,5,0
m,1,0,gaze,training,1448161639460,575,467,5,0
m,1,0,gaze,training,1448161639560,581,262,4,1
m,1,0,gaze,training,1448161639659,573,269,4,0
m,1,0,gaze,training,1448161639760,569,267,4,0
m,1,0,gaze,training,1448161639859,570,268,4,0
m,1,0,gaze,training,1448161639959,570,266,4,0
m,1,0,gaze,training,1448161640060,579,70,3,1
m,1,0,gaze,training,1448161640160,582,78,3,0
m,1,0,gaze,training,1448161640259,580,96,3,0
m,1,0,gaze,training,1448161640360,578,71,3,0
m,1,0,gaze,training,1448161640460,576,64,3,0
m,1,0,gaze,training,1448161640560,578,58,3,0
m,1,0,gaze,training,1448161640660,321,46,-1,0
m,1,0,gaze,training,1448161640760,214,73,0,1
m,1,0,gaze,training,1448161640861,214,79,0,0
m,1,0,gaze,training,1448161640960,207,66,0,0
