
participant,condition,block,input,stimulus,timestamp,xmousex,ymousey,region,triggered
m,1,1,gaze,flags,1448161662057,578,269,4,1
m,1,1,gaze,flags,1448161662157,580,266,4,0
m,1,1,gaze,flags,1448161662257,581,264,4,0
m,1,1,gaze,flags,1448161662357,581,262,4,0
m,1,1,gaze,flags,1448161662457,270,166,-1,0
m,1,1,gaze,flags,1448161662557,253,142,-1,0
m,1,1,gaze,flags,1448161662657,192,74,0,1
m,1,1,gaze,flags,1448161662757,194,74,0,0
m,1,1,gaze,flags,1448161662857,192,71,0,0
m,1,1,gaze,flags,1448161662957,192,68,0,0
m,1,1,gaze,flags,1448161663056,192,70,0,0
m,1,1,gaze,flags,1448161663157,193,69,0,0
m,1,1,gaze,flags,1448161663258,192,69,0,0
m,1,1,gaze,flags,1448161663358,193,70,0,0
m,1,1,gaze,flags,1448161663458,194,73,0,0
m,1,1,gaze,flags,1448161663557,194,76,0,0
m,1,1,gaze,flags,1448161663657,533,112,3,1
m,1,1,gaze,flags,1448161663759,541,102,3,0
m,1,1,gaze,flags,1448161663858,538,114,3,0
m,1,1,gaze,flags,1448161663960,537,117,3,0
m,1,1,gaze,flags,1448161664059,530,112,-1,0
m,1,1,gaze,flags,1448161664159,525,110,-1,0
m,1,1,gaze,flags,1448161664259,523,106,-1,0
m,1,1,gaze,flags,1448161664359,523,106,-1,0
m,1,1,gaze,flags,1448161664459,525,106,-1,0
m,1,1,gaze,flags,1448161664560,524,106,-1,0
m,1,1,gaze,flags,1448161664659,521,105,-1,0
m,1,1,gaze,flags,1448161664760,951,86,6,1
m,1,1,gaze,flags,1448161664859,946,87,6,0
m,1,1,gaze,flags,1448161664960,946,76,6,0
m,1,1,gaze,flags,1448161665060,952,84,6,0
m,1,1,gaze,flags,1448161665159,955,82,6,0
m,1,1,gaze,flags,1448161665260,956,83,6,0
m,1,1,gaze,flags,1448161665360,954,83,6,0
m,1,1,gaze,flags,1448161665460,954,85,6,0
m,1,1,gaze,flags,1448161665560,954,84,6,0
m,1,1,gaze,flags,1448161665659,954,85,6,0
m,1,1,gaze,flags,1448161665760,315,264,-1,0
m,1,1,gaze,flags,1448161665859,250,273,1,1
m,1,1,gaze,flags,1448161665960,220,285,1,0
m,1,1,gaze,flags,1448161666059,218,281,1,0
m,1,1,gaze,flags,1448161666160,214,277,1,0
m,1,1,gaze,flags,1448161666261,204,270,1,0
m,1,1,gaze,flags,1448161666361,198,267,1,0
m,1,1,gaze,flags,1448161666460,194,265,1,0
m,1,1,gaze,flags,1448161666561,191,263,1,0
m,1,1,gaze,flags,1448161666661,189,263,1,0
m,1,1,gaze,flags,1448161666761,189,264,1,0
m,1,1,gaze,flags,1448161666861,188,264,1,0
m,1,1,gaze,flags,1448161666961,530,294,-1,0
m,1,1,gaze,flags,1448161667061,536,283,4,1
m,1,1,gaze,flags,1448161667161,537,283,4,0
m,1,1,gaze,flags,1448161667261,541,284,4,0
m,1,1,gaze,flags,1448161667360,540,284,4,0
m,1,1,gaze,flags,1448161667461,538,284,4,0
m,1,1,gaze,flags,1448161667561,537,284,4,0
m,1,1,gaze,flags,1448161667660,537,282,4,0
m,1,1,gaze,flags,1448161667761,538,281,4,0
m,1,1,gaze,flags,1448161667861,542,281,4,0
