
participant,condition,block,input,stimulus,timestamp,xmousex,ymousey,region,triggered
m,1,2,mouse,fish,1448161810142,601,199,-1,0
m,1,2,mouse,fish,1448161810242,600,206,4,1
m,1,2,mouse,fish,1448161810342,601,204,4,0
m,1,2,mouse,fish,1448161810442,602,205,4,0
m,1,2,mouse,fish,1448161810542,610,112,3,1
m,1,2,mouse,fish,1448161810642,593,96,3,0
m,1,2,mouse,fish,1448161810742,389,50,-1,0
m,1,2,mouse,fish,1448161810842,497,28,-1,0
m,1,2,mouse,fish,1448161810942,596,32,3,1
m,1,2,mouse,fish,1448161811042,428,8,-1,0
m,1,2,mouse,fish,1448161811142,227,9,-1,0
m,1,2,mouse,fish,1448161811242,232,17,-1,0
m,1,2,mouse,fish,1448161811341,230,18,-1,0
m,1,2,mouse,fish,1448161811442,230,21,-1,0
m,1,2,mouse,fish,1448161811542,225,24,-1,0
m,1,2,mouse,fish,1448161811642,221,25,-1,0
m,1,2,mouse,fish,1448161811743,225,29,-1,0
m,1,2,mouse,fish,1448161811842,228,33,-1,0
m,1,2,mouse,fish,1448161811942,228,34,-1,0
m,1,2,mouse,fish,1448161812043,227,36,-1,0
m,1,2,mouse,fish,1448161812143,145,74,0,1
m,1,2,mouse,fish,1448161812244,180,69,0,0
m,1,2,mouse,fish,1448161812343,178,84,0,0
m,1,2,mouse,fish,1448161812444,177,84,0,0
m,1,2,mouse,fish,1448161812543,180,85,0,0
m,1,2,mouse,fish,1448161812643,183,83,0,0
m,1,2,mouse,fish,1448161812743,186,81,0,0
m,1,2,mouse,fish,1448161812843,189,79,0,0
m,1,2,mouse,fish,1448161812943,189,77,0,0
m,1,2,mouse,fish,1448161813044,189,72,0,0
m,1,2,mouse,fish,1448161813144,197,69,0,0
m,1,2,mouse,fish,1448161813244,266,60,-1,0
m,1,2,mouse,fish,1448161813344,445,81,-1,0
m,1,2,mouse,fish,1448161813445,582,78,3,1
m,1,2,mouse,fish,1448161813544,577,102,3,0
m,1,2,mouse,fish,1448161813645,580,101,3,0
m,1,2,mouse,fish,1448161813746,581,101,3,0
m,1,2,mouse,fish,1448161813845,593,100,3,0
m,1,2,mouse,fish,1448161813945,602,97,3,0
m,1,2,mouse,fish,1448161814046,609,96,3,0
m,1,2,mouse,fish,1448161814146,974,109,6,1
m,1,2,mouse,fish,1448161814247,973,104,6,0
m,1,2,mouse,fish,1448161814347,974,100,6,0
m,1,2,mouse,fish,1448161814447,983,100,6,0
m,1,2,mouse,fish,1448161814546,988,100,6,0
m,1,2,mouse,fish,1448161814646,993,99,6,0
m,1,2,mouse,fish,1448161814747,997,97,6,0
m,1,2,mouse,fish,1448161814846,676,184,-1,0
m,1,2,mouse,fish,1448161814947,282,251,-1,0
m,1,2,mouse,fish,1448161815046,273,276,-1,0
m,1,2,mouse,fish,1448161815147,260,269,-1,0
m,1,2,mouse,fish,1448161815247,245,268,1,1
m,1,2,mouse,fish,1448161815347,240,266,1,0
m,1,2,mouse,fish,1448161815447,237,268,1,0
m,1,2,mouse,fish,1448161815547,234,270,1,0
m,1,2,mouse,fish,1448161815646,233,270,1,0
m,1,2,mouse,fish,1448161815747,231,270,1,0
m,1,2,mouse,fish,1448161815847,230,272,1,0
m,1,2,mouse,fish,1448161815947,461,272,-1,0
m,1,2,mouse,fish,1448161816047,560,272,4,1
m,1,2,mouse,fish,1448161816147,564,275,4,0
m,1,2,mouse,fish,1448161816247,581,273,4,0
m,1,2,mouse,fish,1448161816346,600,270,4,0
m,1,2,mouse,fish,1448161816448,603,268,4,0
m,1,2,mouse,fish,1448161816547,603,268,4,0
m,1,2,mouse,fish,1448161816647,603,268,4,0
m,1,2,mouse,fish,1448161816748,609,264,4,0
m,1,2,mouse,fish,1448161816847,607,264,4,0
m,1,2,mouse,fish,1448161816948,605,265,4,0
m,1,2,mouse,fish,1448161817048,607,265,4,0
m,1,2,mouse,fish,1448161817148,989,252,7,1
m,1,2,mouse,fish,1448161817248,985,256,7,0
m,1,2,mouse,fish,1448161817348,985,259,7,0
m,1,2,mouse,fish,1448161817448,990,260,7,0
m,1,2,mouse,fish,1448161817548,996,260,7,0
m,1,2,mouse,fish,1448161817648,1001,261,7,0
m,1,2,mouse,fish,1448161817748,1006,261,7,0
m,1,2,mouse,fish,1448161817848,1010,260,7,0
m,1,2,mouse,fish,1448161817949,1014,260,7,0
m,1,2,mouse,fish,1448161818048,1016,261,7,0
m,1,2,mouse,fish,1448161818148,253,452,-1,0
m,1,2,mouse,fish,1448161818249,256,456,-1,0
m,1,2,mouse,fish,1448161818348,228,448,2,1
m,1,2,mouse,fish,1448161818449,226,446,2,0
m,1,2,mouse,fish,1448161818549,228,446,2,0
m,1,2,mouse,fish,1448161818648,228,445,2,0
m,1,2,mouse,fish,1448161818749,229,445,2,0
m,1,2,mouse,fish,1448161818848,239,443,2,0
m,1,2,mouse,fish,1448161818949,246,441,2,0
m,1,2,mouse,fish,1448161819048,250,440,2,0
m,1,2,mouse,fish,1448161819149,583,428,5,1
m,1,2,mouse,fish,1448161819249,588,430,5,0
m,1,2,mouse,fish,1448161819348,583,436,5,0
m,1,2,mouse,fish,1448161819448,588,426,5,0
m,1,2,mouse,fish,1448161819548,588,428,5,0
m,1,2,mouse,fish,1448161819649,600,426,5,0
m,1,2,mouse,fish,1448161819748,609,424,5,0
m,1,2,mouse,fish,1448161819849,970,426,8,1
m,1,2,mouse,fish,1448161819949,985,434,8,0
m,1,2,mouse,fish,1448161820050,996,432,8,0
m,1,2,mouse,fish,1448161820149,1000,428,8,0
m,1,2,mouse,fish,1448161820249,1006,429,8,0
m,1,2,mouse,fish,1448161820350,1008,428,8,0
m,1,2,mouse,fish,1448161820449,1010,429,8,0
m,1,2,mouse,fish,1448161820550,1011,428,8,0
m,1,2,mouse,fish,1448161820651,1012,428,8,0
m,1,2,mouse,fish,1448161820750,237,77,0,1
m,1,2,mouse,fish,1448161820851,241,80,0,0
m,1,2,mouse,fish,1448161820950,233,74,0,0
m,1,2,mouse,fish,1448161821052,228,72,0,0
m,1,2,mouse,fish,1448161821151,230,69,0,0
m,1,2,mouse,fish,1448161821252,230,67,0,0
m,1,2,mouse,fish,1448161821351,232,61,0,0
m,1,2,mouse,fish,1448161821452,232,57,0,0
m,1,2,mouse,fish,1448161821552,597,75,3,1
m,1,2,mouse,fish,1448161821652,600,70,3,0
m,1,2,mouse,fish,1448161821752,599,77,3,0
m,1,2,mouse,fish,1448161821851,604,74,3,0
m,1,2,mouse,fish,1448161821952,608,73,3,0
m,1,2,mouse,fish,1448161822052,609,71,3,0
m,1,2,mouse,fish,1448161822153,611,69,3,0
m,1,2,mouse,fish,1448161822252,958,86,6,1
m,1,2,mouse,fish,1448161822353,961,85,6,0
m,1,2,mouse,fish,1448161822452,965,83,6,0
m,1,2,mouse,fish,1448161822552,987,84,6,0
m,1,2,mouse,fish,1448161822653,993,81,6,0
m,1,2,mouse,fish,1448161822753,996,81,6,0
m,1,2,mouse,fish,1448161822853,997,81,6,0
m,1,2,mouse,fish,1448161822952,373,273,-1,0
m,1,2,mouse,fish,1448161823053,245,282,1,1
m,1,2,mouse,fish,1448161823153,245,297,-1,0
m,1,2,mouse,fish,1448161823253,234,292,1,1
m,1,2,mouse,fish,1448161823353,237,289,1,0
m,1,2,mouse,fish,1448161823453,236,289,1,0
m,1,2,mouse,fish,1448161823553,237,288,1,0
m,1,2,mouse,fish,1448161823653,539,275,4,1
m,1,2,mouse,fish,1448161823753,535,278,4,0
m,1,2,mouse,fish,1448161823853,545,278,4,0
m,1,2,mouse,fish,1448161823953,580,280,4,0
m,1,2,mouse,fish,1448161824054,592,278,4,0
