
participant,condition,block,input,stimulus,timestamp,xmousex,ymousey,region,triggered
m,1,3,gaze,mushrooms,1448161863042,0,0,-1,0
m,1,3,gaze,mushrooms,1448161863142,0,0,-1,0
m,1,3,gaze,mushrooms,1448161863243,220,422,2,1
m,1,3,gaze,mushrooms,1448161863342,527,288,-1,0
m,1,3,gaze,mushrooms,1448161863442,237,255,1,1
m,1,3,gaze,mushrooms,1448161863542,189,259,1,0
m,1,3,gaze,mushrooms,1448161863642,178,45,0,1
m,1,3,gaze,mushrooms,1448161863743,184,41,0,0
m,1,3,gaze,mushrooms,1448161863844,181,28,-1,0
m,1,3,gaze,mushrooms,1448161863943,181,27,-1,0
m,1,3,gaze,mushrooms,1448161864043,182,26,-1,0
m,1,3,gaze,mushrooms,1448161864143,183,33,0,1
m,1,3,gaze,mushrooms,1448161864243,177,122,0,0
m,1,3,gaze,mushrooms,1448161864344,181,82,0,0
m,1,3,gaze,mushrooms,1448161864443,184,65,0,0
m,1,3,gaze,mushrooms,1448161864543,184,68,0,0
m,1,3,gaze,mushrooms,1448161864643,181,76,0,0
m,1,3,gaze,mushrooms,1448161864743,182,81,0,0
m,1,3,gaze,mushrooms,1448161864844,183,84,0,0
m,1,3,gaze,mushrooms,1448161864943,185,86,0,0
m,1,3,gaze,mushrooms,1448161865043,186,88,0,0
m,1,3,gaze,mushrooms,1448161865144,210,145,0,0
m,1,3,gaze,mushrooms,1448161865243,207,142,0,0
m,1,3,gaze,mushrooms,1448161865344,225,243,1,1
m,1,3,gaze,mushrooms,1448161865443,224,293,1,0
m,1,3,gaze,mushrooms,1448161865543,221,296,1,0
m,1,3,gaze,mushrooms,1448161865643,224,294,1,0
m,1,3,gaze,mushrooms,1448161865744,215,297,1,0
m,1,3,gaze,mushrooms,1448161865843,207,301,1,0
m,1,3,gaze,mushrooms,1448161865943,189,306,1,0
m,1,3,gaze,mushrooms,1448161866045,193,305,1,0
m,1,3,gaze,mushrooms,1448161866144,193,302,1,0
m,1,3,gaze,mushrooms,1448161866245,193,297,1,0
m,1,3,gaze,mushrooms,1448161866345,194,290,1,0
