
participant,condition,block,input,stimulus,timestamp,xmousex,ymousey,region,triggered
m,1,4,mouse,viruses,1448161962980,0,0,-1,0
m,1,4,mouse,viruses,1448161963082,0,0,-1,0
m,1,4,mouse,viruses,1448161963181,569,268,4,1
m,1,4,mouse,viruses,1448161963281,561,272,4,0
m,1,4,mouse,viruses,1448161963381,565,272,4,0
m,1,4,mouse,viruses,1448161963481,242,282,1,1
m,1,4,mouse,viruses,1448161963581,243,281,1,0
m,1,4,mouse,viruses,1448161963681,185,51,0,1
m,1,4,mouse,viruses,1448161963781,176,54,0,0
m,1,4,mouse,viruses,1448161963882,177,56,0,0
m,1,4,mouse,viruses,1448161963981,177,49,0,0
m,1,4,mouse,viruses,1448161964081,176,42,0,0
m,1,4,mouse,viruses,1448161964182,176,39,0,0
m,1,4,mouse,viruses,1448161964282,176,35,0,0
m,1,4,mouse,viruses,1448161964381,175,30,-1,0
m,1,4,mouse,viruses,1448161964481,174,29,-1,0
m,1,4,mouse,viruses,1448161964581,174,24,-1,0
m,1,4,mouse,viruses,1448161964682,173,21,-1,0
m,1,4,mouse,viruses,1448161964781,555,72,3,1
m,1,4,mouse,viruses,1448161964881,561,47,3,0
m,1,4,mouse,viruses,1448161964981,565,47,3,0
m,1,4,mouse,viruses,1448161965082,566,51,3,0
m,1,4,mouse,viruses,1448161965181,577,51,3,0
m,1,4,mouse,viruses,1448161965282,586,48,3,0
m,1,4,mouse,viruses,1448161965382,584,42,3,0
m,1,4,mouse,viruses,1448161965482,581,38,3,0
m,1,4,mouse,viruses,1448161965582,578,32,3,0
m,1,4,mouse,viruses,1448161965682,580,28,3,0
m,1,4,mouse,viruses,1448161965782,584,25,-1,0
m,1,4,mouse,viruses,1448161965882,588,24,-1,0
m,1,4,mouse,viruses,1448161965983,803,39,-1,0
m,1,4,mouse,viruses,1448161966082,970,54,6,1
m,1,4,mouse,viruses,1448161966182,972,44,6,0
m,1,4,mouse,viruses,1448161966282,975,45,6,0
m,1,4,mouse,viruses,1448161966383,836,51,-1,0
m,1,4,mouse,viruses,1448161966482,608,48,3,1
m,1,4,mouse,viruses,1448161966582,686,49,-1,0
m,1,4,mouse,viruses,1448161966683,1000,101,6,1
m,1,4,mouse,viruses,1448161966782,1009,100,6,0
m,1,4,mouse,viruses,1448161966883,1000,63,6,0
m,1,4,mouse,viruses,1448161966982,1002,65,6,0
m,1,4,mouse,viruses,1448161967082,991,64,6,0
m,1,4,mouse,viruses,1448161967182,985,64,6,0
m,1,4,mouse,viruses,1448161967283,977,62,6,0
m,1,4,mouse,viruses,1448161967382,973,62,6,0
m,1,4,mouse,viruses,1448161967483,276,257,-1,0
m,1,4,mouse,viruses,1448161967583,230,268,1,1
m,1,4,mouse,viruses,1448161967682,197,278,1,0
m,1,4,mouse,viruses,1448161967783,208,263,1,0
m,1,4,mouse,viruses,1448161967883,208,254,1,0
m,1,4,mouse,viruses,1448161967983,209,246,1,0
m,1,4,mouse,viruses,1448161968082,203,242,1,0
m,1,4,mouse,viruses,1448161968183,192,237,1,0
m,1,4,mouse,viruses,1448161968283,187,235,1,0
m,1,4,mouse,viruses,1448161968383,182,232,1,0
m,1,4,mouse,viruses,1448161968483,176,231,1,0
m,1,4,mouse,viruses,1448161968583,435,233,-1,0
m,1,4,mouse,viruses,1448161968683,580,253,4,1
m,1,4,mouse,viruses,1448161968783,581,241,4,0
m,1,4,mouse,viruses,1448161968882,589,252,4,0
m,1,4,mouse,viruses,1448161968983,592,244,4,0
m,1,4,mouse,viruses,1448161969084,593,240,4,0
m,1,4,mouse,viruses,1448161969184,593,237,4,0
m,1,4,mouse,viruses,1448161969284,514,130,-1,0
m,1,4,mouse,viruses,1448161969384,590,215,4,1
m,1,4,mouse,viruses,1448161969483,591,213,4,0
m,1,4,mouse,viruses,1448161969584,592,212,4,0
m,1,4,mouse,viruses,1448161969684,591,208,4,0
m,1,4,mouse,viruses,1448161969783,594,209,4,0
m,1,4,mouse,viruses,1448161969884,596,213,4,0
m,1,4,mouse,viruses,1448161969984,967,217,7,1
m,1,4,mouse,viruses,1448161970084,968,224,7,0
m,1,4,mouse,viruses,1448161970183,965,221,7,0
m,1,4,mouse,viruses,1448161970284,965,224,7,0
m,1,4,mouse,viruses,1448161970384,972,223,7,0
m,1,4,mouse,viruses,1448161970484,977,221,7,0
m,1,4,mouse,viruses,1448161970584,980,219,7,0
m,1,4,mouse,viruses,1448161970685,980,222,7,0
m,1,4,mouse,viruses,1448161970784,980,225,7,0
m,1,4,mouse,viruses,1448161970884,982,224,7,0
m,1,4,mouse,viruses,1448161970985,985,220,7,0
m,1,4,mouse,viruses,1448161971084,988,217,7,0
m,1,4,mouse,viruses,1448161971184,991,214,7,0
m,1,4,mouse,viruses,1448161971286,992,210,7,0
m,1,4,mouse,viruses,1448161971385,994,208,7,0
m,1,4,mouse,viruses,1448161971486,300,391,-1,0
m,1,4,mouse,viruses,1448161971586,260,400,-1,0
m,1,4,mouse,viruses,1448161971686,180,429,2,1
m,1,4,mouse,viruses,1448161971787,176,426,2,0
